id|nombre|apellido1|apellido2|rut|direccion|celular|nacimiento|sexoId|usuarioId|regionId|provincixId|comunaId|createdAt|updatedAt
562|Simón Daniel|Sánchez|Castillo|22126491-6|Lord Cochrane 1733|56910398435|2006-01-11|1|1162|7|23|109|2023-09-24|2023-09-24
563|Luna Catalina|Vega|Rojas|22413492-4|Pasaje Romeral 1844|56932707396|2006-12-26|2|1163|7|23|109|2023-09-24|2023-09-24
564|Tomás Nicolás|González|Fernández|22240965-9|Mapocho 1330|56976398111|2006-05-30|1|1164|7|23|109|2023-09-24|2023-09-24
565|Jhon Samuel|Tapia|Espinoza|22314659-7|General Las Heras 48|56940317559|2006-08-28|1|1165|7|23|109|2023-09-24|2023-09-24
566|Martín Erick|Escobar|Jara|22385017-0|San Francisco 709|56914524728|2006-11-22|1|1166|7|23|109|2023-09-24|2023-09-24
567|Joaquín Orlando|Parra|Parra|22178230-5|Calle Quinta Normal 859|56949655127|2006-03-15|1|1167|7|23|109|2023-09-24|2023-09-24
568|Matilda Juanita|Pizarro|Bravo|22219604-3|Blas Cañas 1163|56936770752|2006-05-04|2|1168|7|23|109|2023-09-24|2023-09-24
569|Juanita Claudia|Fuentes|Vergara|22414417-2|Enrique Mac Iver 816|56951285990|2006-12-28|2|1169|7|23|109|2023-09-24|2023-09-24
570|Diana María|García|Maldonado|22381389-5|Zenteno 1206|56994061983|2006-11-17|2|1170|7|23|109|2023-09-24|2023-09-24
571|Elías Julián|Muñoz|Parra|22292320-4|Gran Avenida José Miguel Carrera 1824|56934220085|2006-08-01|1|1171|7|23|109|2023-09-24|2023-09-24
572|Áxel Rubén|Ramírez|Miranda|22184318-5|Purén Indómito 1290|56934470324|2006-03-22|1|1172|7|23|109|2023-09-24|2023-09-24
573|Sara Alba|Morales|Carrasco|22128232-9|Calle Abdón Cifuentes 1153|56910233243|2006-01-13|2|1173|7|23|109|2023-09-24|2023-09-24
574|Paloma Aitana|Leiva|Cárdenas|22309499-6|Concha y Toro 764|56951901553|2006-08-22|2|1174|7|23|109|2023-09-24|2023-09-24
575|Rafael Walter|Ortega|Bustamente|22236234-2|Catedral 349|56934697702|2006-05-24|1|1175|7|23|109|2023-09-24|2023-09-24
576|Estefanía Débora|Carvajal|Gallardo|22233824-7|Doctor Sotero del Río 181|56975664498|2006-05-22|2|1201|7|23|109|2023-09-24|2023-09-24
577|Jair Jhon|Valenzuela|Godoy|22415997-8|Los Tulipanes 1122|56968785350|2006-12-30|1|1202|7|23|109|2023-09-24|2023-09-24
578|Celia Amanda|Riquelme|Escobar|22148106-2|Juan Fernández Blanco 1492|56961463522|2006-02-06|2|1203|7|23|109|2023-09-24|2023-09-24
579|Álvaro Juan|Campos|Acuña|22144764-6|Doctor Díaz Velasco 161|56953614074|2006-02-02|1|1204|7|23|109|2023-09-24|2023-09-24
580|Macarena Amanda|Carrasco|Alarcón|22233477-2|Espiñeira 366|56988993863|2006-05-21|2|1205|7|23|109|2023-09-24|2023-09-24
581|Federico Julián|Zúñiga|Carvajal|22247983-5|Pasaje San Alfonso 290|56976160176|2006-06-08|1|1206|7|23|109|2023-09-24|2023-09-24
582|Agustín Paulo|Cortés|Rivera|22367786-K|Allende 1253|56938491129|2006-11-01|1|1207|7|23|109|2023-09-24|2023-09-24
583|Hernán Kevin|Acuña|Valenzuela|22377830-5|Maquinista Escobar 1995|56955880344|2006-11-13|1|1208|7|23|109|2023-09-24|2023-09-24
584|Esmeralda Antonella|Cárdenas|Yáñez|22267392-5|Claudio Gay 1437|56964372035|2006-07-01|2|1209|7|23|109|2023-09-24|2023-09-24
585|Jeremy Alejandro|Vera|Álvarez|22190561-K|Londres 440|56927111981|2006-03-30|1|1210|7|23|109|2023-09-24|2023-09-24
586|Esteban Jeremy|Jiménez|Saavedra|22234893-5|Guillermo Marconi 845|56985924538|2006-05-23|1|1211|7|23|109|2023-09-24|2023-09-24
587|Emmanuel Elías|Vega|Álvarez|22276974-4|Correa Errázuriz 1794|56983771236|2006-07-13|1|1212|7|23|109|2023-09-24|2023-09-24
588|Enrique Constantino|Muñoz|Lagos|22195688-5|Nicanor De La Sotta 953|56948703327|2006-04-05|1|1213|7|23|109|2023-09-24|2023-09-24
589|Gustavo Isaac|Carrasco|Aravena|22259326-3|Porvenir 362|56910466460|2006-06-22|1|1214|7|23|109|2023-09-24|2023-09-24
590|Lila Rosario|Moreno|Figueroa|22197268-6|Garland 1218|56947209962|2006-04-07|2|1215|7|23|109|2023-09-24|2023-09-24
591|Franco Joaquín|Fernández|Reyes|22214889-8|Rodulfo Amando Philippi 465|56987961541|2006-04-28|1|1216|7|23|109|2023-09-24|2023-09-24
592|Jeremy Kian|Silva|Pizarro|22338974-0|Los Tulipanes 1039|56966220735|2006-09-27|1|1217|7|23|109|2023-09-24|2023-09-24
593|Yolanda Romina|Ruiz|Bravo|22277089-0|María Arteaga 171|56967971536|2006-07-13|2|1218|7|23|109|2023-09-24|2023-09-24
594|Josefina Romina|Romero|Tapia|22266955-3|Príncipe de Gales 81|56952816273|2006-07-01|2|1219|7|23|109|2023-09-24|2023-09-24
595|Sol Amelia|Espinoza|Valenzuela|22346636-2|Santa Margarita 1264|56953138251|2006-10-06|2|1220|7|23|109|2023-09-24|2023-09-24
596|Leonardo Bruno|Salazar|Castro|22159288-3|Pasaje Las Quedereguas 298|56937930269|2006-02-20|1|1221|7|23|109|2023-09-24|2023-09-24
597|Macarena Paloma|Tapia|Araya|22223560-K|Avenida San Pablo 1264|56926296922|2006-05-09|2|1222|7|23|109|2023-09-24|2023-09-24
598|Almendra Natalia|Carrasco|Espinoza|22276712-1|Artemio Gutierrez 512|56922829681|2006-07-13|2|1223|7|23|109|2023-09-24|2023-09-24
599|Juanita Anaís|Pizarro|Fernández|22353140-7|Tucapel 1721|56957892832|2006-10-14|2|1224|7|23|109|2023-09-24|2023-09-24
600|Álvaro Jorge|López|Henríquez|22370663-0|Artemio Gutierrez 1817|56936373239|2006-11-04|1|1225|7|23|109|2023-09-24|2023-09-24
